City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tshabong,-26.05,22.45,291.67,26,7,5.16,BW,1681949270
83,qaqortoq,60.7167,-46.0333,272.89,92,83,0.93,GL,1681949044
84,turbat,26.0023,63.044,298.77,50,72,1.28,PK,1681949272
85,pandan,14.0453,124.1694,301.01,84,14,3.13,PH,1681949272
86,longyearbyen,78.2186,15.6401,262.06,79,20,2.06,SJ,1681949047
87,carnarvon,-24.8667,113.6333,296.42,44,78,7.26,AU,1681949015
88,baile herculane,44.8797,22.4125,280.99,95,69,2.07,RO,1681949274
89,santana,-0.0583,-51.1817,300.25,89,0,3.6,BR,1681949274
90,richards bay,-28.783,32.0377,293.07,84,0,5.7,ZA,1681949275
91,kapit,2.0167,112.9333,298.57,91,83,0.22,MY,1681949275
92,noosa heads,-26.3833,153.15,297.65,62,50,9.15,AU,1681949060
93,shache,38.4167,77.2406,284.16,38,100,8.5,CN,1681949089
94,mount gambier,-37.8333,140.7667,288.51,74,99,2.82,AU,1681949029
95,siwa oasis,29.2041,25.5195,290.91,49,0,4.35,EG,1681949278
96,galliano,29.4422,-90.2992,297.15,60,0,2.57,US,1681949279
97,nova xavantina,-14.6667,-52.35,296.57,93,94,1.39,BR,1681949023
98,fort bragg,35.139,-79.006,299.06,35,0,2.57,US,1681949199
99,port alfred,-33.5906,26.891,297.97,46,93,4.1,ZA,1681949063
100,shendi,16.6915,33.4341,301.01,9,1,4.87,SD,1681949280
101,kailua-kona,19.6406,-155.9956,296.64,95,100,13.89,US,1681949082
102,belmonte,-15.8631,-38.8828,300.37,89,17,3.96,BR,1681949281
103,luau,-10.7073,22.2247,290.81,86,40,1.32,AO,1681949282
104,college,64.8569,-147.8028,277.12,41,20,0.0,US,1681949010
105,nemuro,43.3236,145.575,278.61,85,75,2.69,JP,1681949189
106,edinburgh of the seven seas,-37.0676,-12.3116,291.53,81,100,11.54,SH,1681948997
107,the pas,53.8251,-101.2541,272.02,74,100,6.27,CA,1681949285
108,chinde,26.8418,88.0763,292.06,33,1,2.42,NP,1681949030
109,coquimbo,-29.9533,-71.3436,288.0,82,0,3.09,CL,1681949035
110,klaksvik,62.2266,-6.589,279.66,80,4,4.89,FO,1681949287
111,yellowknife,62.456,-114.3525,278.46,42,20,4.63,CA,1681948810
112,ndelele,4.0333,14.9333,294.5,90,98,0.9,CM,1681949289
113,keflavik,64.0049,-22.5624,281.1,100,100,9.77,IS,1681949071
114,fortuna,40.5982,-124.1573,287.0,60,28,2.24,US,1681949098
115,saint-louis,16.3333,-15.0,298.86,34,34,5.02,SN,1681949291
116,castlegar,49.2998,-117.6689,280.64,57,100,0.84,CA,1681949292
117,mitu,1.1983,-70.1733,296.82,96,92,1.12,CO,1681949292
118,pontes e lacerda,-15.2261,-59.3353,295.39,98,100,1.93,BR,1681949293
119,road town,18.4167,-64.6167,299.2,73,40,3.09,VG,1681949018
120,magadan,59.5667,150.8,273.85,74,99,5.33,RU,1681948998
121,lerwick,60.1545,-1.1494,280.15,82,17,3.18,GB,1681949295
122,kristiansund,63.1115,7.732,278.18,93,100,0.51,NO,1681949297
123,saipan,15.1355,145.701,303.54,100,100,8.75,MP,1681949298
124,winkler,49.1817,-97.941,274.27,80,100,5.66,CA,1681949079
125,dawukou,39.0419,106.3958,282.9,28,94,2.51,CN,1681949300
126,acarau,-2.8856,-40.12,298.5,87,100,2.84,BR,1681949065
127,aldan,58.6031,125.3894,267.1,91,100,2.33,RU,1681949302
128,takoradi,4.8845,-1.7554,298.72,85,98,2.51,GH,1681949302
129,marsh harbour,26.5412,-77.0636,296.58,75,100,8.5,BS,1681949128
130,rio grande,-32.035,-52.0986,285.21,66,67,7.79,BR,1681949304
131,jieshi,22.8134,115.8257,296.05,93,100,1.07,CN,1681949304
132,isafjordur,66.0755,-23.124,281.04,96,100,4.05,IS,1681949046
133,wailua homesteads,22.0669,-159.378,299.68,68,40,7.2,US,1681949069
134,alesund,62.4723,6.1549,280.79,84,25,4.63,NO,1681949306
135,kalevala,65.2,31.1667,274.25,99,100,2.68,RU,1681949056
136,kapa'a,22.0752,-159.319,300.43,68,40,7.2,US,1681949157
137,jiaojiang,28.6803,121.4428,294.82,87,100,4.36,CN,1681949308
138,puerto ayora,-0.7393,-90.3518,296.79,100,100,0.89,EC,1681949020
139,momil,9.2377,-75.6749,300.8,78,98,3.74,CO,1681949310
140,kodiak,57.79,-152.4072,279.88,57,100,4.12,US,1681949060
141,wanning,18.8003,110.3967,300.46,84,10,5.26,CN,1681949311
142,yulinshi,38.2906,109.7494,283.99,20,83,9.75,CN,1681949311
143,mwinilunga,-11.7358,24.4293,288.23,96,21,1.53,ZM,1681949312
144,xiva,41.3783,60.3639,278.14,20,57,4.5,UZ,1681949185
145,avarua,-21.2078,-159.775,299.18,89,75,6.17,CK,1681949053
146,mckenzie,47.7084,-103.4477,276.94,70,100,7.72,US,1681949314
147,inhambane,-23.865,35.3833,292.95,82,0,2.19,MZ,1681949206
148,paranagua,-25.52,-48.5092,291.32,68,43,1.84,BR,1681949315
149,porto-vecchio,41.591,9.2795,284.89,93,0,0.0,FR,1681949316
150,heihe,50.2441,127.4902,273.93,83,100,5.2,CN,1681949317
151,kokshetau,53.2775,69.3883,271.47,69,1,1.59,KZ,1681949318
152,rondonopolis,-16.4708,-54.6356,295.77,94,99,2.08,BR,1681949318
153,lensk,60.7253,114.9278,268.57,65,100,2.36,RU,1681949319
154,chimore,-16.9833,-65.1333,292.9,99,100,0.3,BO,1681949320
155,port sudan,19.6175,37.2164,297.98,69,0,4.03,SD,1681949320
156,iskateley,67.6803,53.1512,272.98,97,100,5.84,RU,1681948998
157,pizarro,4.9533,-77.366,299.63,84,100,2.1,CO,1681949321
158,hammerfest,70.6634,23.6821,278.4,93,75,7.2,NO,1681949021
159,tazovsky,67.4667,78.7,258.57,99,93,2.12,RU,1681949197
160,eyl,7.9803,49.8164,300.37,73,52,3.26,SO,1681949140
161,basse santa su,13.31,-14.2137,306.3,18,20,3.75,GM,1681949323
162,ulaangom,49.9811,92.0667,270.9,35,70,1.98,MN,1681949323
163,dabhol,17.6,73.1667,298.64,82,15,0.28,IN,1681949325
164,arklow,52.7931,-6.1414,282.64,70,49,7.49,IE,1681949325
165,sault ste. marie,46.5168,-84.3333,276.31,65,0,2.57,CA,1681949326
166,whitehorse,60.7161,-135.0538,279.83,52,75,2.06,CA,1681948993
167,singkil,-7.9855,111.4161,298.92,85,43,1.47,ID,1681949327
168,misratah,32.3754,15.0925,291.94,65,88,8.09,LY,1681949327
169,medicine hat,50.0501,-110.6683,274.66,88,100,0.89,CA,1681949327
170,ilhabela,-23.7781,-45.3581,294.74,79,94,0.15,BR,1681949328
171,san matias,-16.3667,-58.4,296.0,90,97,2.2,BO,1681949328
172,urangan,-25.3,152.9,297.15,62,25,8.4,AU,1681949234
173,high river,50.5834,-113.8687,279.7,68,100,7.22,CA,1681949330
174,tremonton,41.7119,-112.1655,280.39,29,100,4.92,US,1681949330
175,haiku-pauwela,20.9219,-156.3051,296.58,93,100,6.17,US,1681949171
176,nyurba,63.2842,118.3319,267.5,86,83,2.29,RU,1681949331
177,labytnangi,66.6572,66.4183,261.83,93,100,1.78,RU,1681949331
178,utrik,11.2278,169.8474,299.95,77,100,7.95,MH,1681949069
179,fale old settlement,-9.3852,-171.2468,301.41,69,71,1.6,TK,1681949064
180,konosha,60.9736,40.257,273.0,98,100,1.54,RU,1681949333
181,llanes,43.4198,-4.7549,287.86,75,2,0.72,ES,1681949333
182,badger,64.8,-147.5333,277.08,41,20,0.0,US,1681949099
183,black river,18.0264,-77.8487,299.08,79,14,2.93,JM,1681949334
184,nouadhibou,20.931,-17.0347,291.83,89,86,8.08,MR,1681949334
185,nizhnedevitsk,51.5419,38.3657,281.4,60,100,4.94,RU,1681949335
186,yashkul',46.1711,45.3435,282.98,54,79,5.04,RU,1681949336
187,kudahuvadhoo,2.6708,72.8944,301.69,72,91,2.0,MV,1681949008
188,kyzyl-mazhalyk,51.1333,90.6,266.94,59,68,1.4,RU,1681949336
189,cockburn town,21.4612,-71.1419,299.27,77,0,5.86,TC,1681949337
190,constitucion,-35.3333,-72.4167,286.88,80,73,4.3,CL,1681949156
191,alice springs,-23.7,133.8833,288.9,63,0,7.2,AU,1681949090
192,selfoss,63.9331,-20.9971,280.42,92,32,2.67,IS,1681949145
193,jabor,5.921,169.6434,301.37,78,90,6.1,MH,1681949339
194,neiafu,-18.65,-173.9833,302.53,84,75,3.6,TO,1681949089
195,isangel,-19.55,169.2667,301.39,62,99,1.23,VU,1681949340
196,guaruja,-23.9931,-46.2564,296.98,26,98,1.62,BR,1681949340
197,zyryanovsk,49.7386,84.2719,260.35,96,97,0.25,KZ,1681949341
198,tarko-sale,64.9225,77.785,256.95,100,91,1.33,RU,1681948993
199,anadyr,64.75,177.4833,272.43,68,20,1.0,RU,1681949057
200,timra,62.487,17.3257,274.97,80,0,3.09,SE,1681949343
201,ugoofaaru,5.6667,73.0,301.14,76,20,1.24,MV,1681949344
202,amalapuram,16.5833,82.0167,297.6,93,6,1.36,IN,1681949345
203,tura,25.5198,90.2201,297.07,83,9,3.5,IN,1681949346
204,borogontsy,62.6683,131.1683,271.04,90,100,1.96,RU,1681949346
205,aasiaat,68.7098,-52.8699,258.16,93,76,1.14,GL,1681949022
206,kuppam,12.75,78.3667,295.63,64,2,1.1,IN,1681949347
207,pyshma,56.9523,63.2513,273.23,59,2,2.71,RU,1681949348
208,quellon,-43.1167,-73.6167,286.29,100,100,0.0,CL,1681949349
209,filadelfia,39.9523,-75.1638,291.09,39,0,4.12,US,1681949164
210,taroa,8.7058,171.2275,300.47,81,92,6.57,MH,1681949350
211,bhaisa,19.1,77.9667,303.45,29,56,0.98,IN,1681949351
212,kangding,30.0513,101.9603,285.18,94,100,1.05,CN,1681949140
213,ibarreta,-25.2144,-59.8585,291.78,59,0,2.43,AR,1681949352
214,oral,51.2333,51.3667,281.86,53,100,2.43,KZ,1681949353
215,jonesborough,36.2943,-82.4735,296.92,51,5,0.99,US,1681949354
216,al quwayrah,29.8004,35.3116,296.6,24,80,2.08,JO,1681949354
217,tindouf,27.6711,-8.1474,290.06,62,36,9.54,DZ,1681949355
218,arawa,-6.2132,155.5367,303.12,63,94,1.55,PG,1681949356
219,ta`u,-14.2336,-169.5144,301.64,77,89,8.18,AS,1681949125
220,khandyga,62.6667,135.6,271.08,87,100,1.8,RU,1681949093
221,katsuura,35.1333,140.3,291.16,83,100,1.59,JP,1681948937
222,realeza,-25.7689,-53.5325,285.99,71,19,1.08,BR,1681949358
223,arraial do cabo,-22.9661,-42.0278,297.13,83,75,3.09,BR,1681948916
224,lemvig,56.5486,8.3102,279.93,78,0,4.64,DK,1681949359
225,ostrov,57.3439,28.3537,278.0,89,5,2.79,RU,1681949361
226,vila do maio,15.1333,-23.2167,295.44,79,76,5.99,CV,1681949362
227,vadso,70.0744,29.7487,277.64,81,100,2.57,NO,1681948985
228,burang,30.25,81.1667,272.0,95,99,3.18,CN,1681949099
229,tarfaya,27.9358,-12.9218,291.19,86,50,5.62,MA,1681949363
230,vilyuchinsk,52.9306,158.4028,279.3,90,100,2.7,RU,1681949115
231,dunedin,-45.8742,170.5036,289.86,80,61,1.22,NZ,1681949080
232,tromso,69.6496,18.957,279.16,93,100,7.72,NO,1681949068
233,afaahiti,-17.75,-149.2833,303.08,83,93,7.19,PF,1681948994
234,mugia,43.1041,-9.2179,287.68,91,72,4.73,ES,1681949366
235,betare oya,5.6,14.0833,294.79,90,85,0.53,CM,1681949367
236,igarka,67.4667,86.5833,254.59,100,91,0.94,RU,1681949368
237,tobruk,32.0836,23.9764,288.79,73,0,6.2,LY,1681949369
238,port mathurin,-19.6833,63.4167,299.17,76,10,9.21,MU,1681949075
239,huancavelica,-12.7667,-74.9833,277.62,89,56,2.56,PE,1681949371
240,tocopilla,-22.092,-70.1979,292.87,79,25,1.52,CL,1681949371
241,hithadhoo,-0.6,73.0833,301.59,72,100,2.48,MV,1681948995
242,uige,-7.6087,15.0613,292.91,91,91,1.35,AO,1681949373
243,hamilton,39.1834,-84.5333,298.5,38,100,4.12,US,1681949144
244,tidjikja,18.5564,-11.4271,302.17,18,82,4.02,MR,1681949374
245,conduaga,8.862,117.4893,301.9,71,100,1.21,PH,1681949374
246,fukuecho,32.6881,128.8419,290.55,85,99,3.18,JP,1681949375
247,kuta,-8.7233,115.1723,301.12,83,40,1.54,ID,1681949376
248,susuman,62.7833,148.1667,267.08,75,100,4.5,RU,1681949376
249,petropavlovsk-kamchatsky,53.0452,158.6483,278.48,52,75,8.0,RU,1681949006
250,nova olinda do norte,-3.8881,-59.0942,297.85,89,96,0.51,BR,1681949377
251,bubaque,11.2833,-15.8333,299.0,72,27,8.81,GW,1681949378
252,oranjemund,-28.55,16.4333,287.65,89,76,2.22,NA,1681949378
253,salinopolis,-0.6136,-47.3561,298.61,88,98,2.17,BR,1681949379
254,hermanus,-34.4187,19.2345,288.04,60,100,4.12,ZA,1681949000
255,garoua boulai,5.8833,14.55,292.55,91,72,1.47,CM,1681949380
256,santa cruz,-17.8,-63.1667,293.41,83,93,2.82,BO,1681949343
257,san rafael del yuma,18.4299,-68.6739,298.91,79,2,2.95,DO,1681949381
258,farah,32.5,62.5,284.72,37,0,2.04,AF,1681949381
259,qamdo,31.1667,97.2333,275.66,56,3,1.78,CN,1681949032
260,north bend,43.4065,-124.2243,284.95,81,100,6.69,US,1681949382
261,mamuju,-2.6748,118.8885,300.81,79,20,0.89,ID,1681949238
262,levuka,50.1834,-105.4011,270.38,96,100,8.37,CA,1681949383
263,geraldton,-28.7667,114.6,292.38,42,7,6.17,AU,1681949384
264,dawson creek,55.7666,-120.2362,278.47,65,100,1.54,CA,1681949385
265,bodaybo,57.8506,114.1933,266.67,80,100,1.0,RU,1681949186
266,enewetak,11.3474,162.3373,298.85,87,100,10.2,MH,1681949151
267,timimoun,29.2639,0.231,297.48,19,0,3.56,DZ,1681949387
268,nova sintra,14.8667,-24.7167,293.61,76,96,7.43,CV,1681949032
269,mitsamiouli,-11.3847,43.2844,300.54,76,95,3.97,KM,1681949388
270,buynaksk,42.819,47.1192,276.16,66,66,2.46,RU,1681949389
271,ada,43.4166,-116.1262,281.67,56,100,9.26,US,1681949136
272,la ferte-mace,48.59,-0.358,279.85,93,1,3.24,FR,1681949390
273,port saint john's,-31.6229,29.5448,294.54,37,0,3.79,ZA,1681949391
274,chibougamau,49.9168,-74.3659,268.94,74,100,4.12,CA,1681949392
275,narvik,68.4384,17.4272,280.58,96,100,2.89,NO,1681949393
276,revda,56.801,59.9303,273.57,74,98,1.41,RU,1681949141
277,naifaru,5.4444,73.3657,301.36,75,48,1.82,MV,1681949393
278,sinabang,2.4803,96.3801,299.84,80,99,0.7,ID,1681949394
279,cerro de ortega,18.75,-103.7667,300.3,64,28,2.68,MX,1681949395
280,axim,4.8699,-2.2405,299.42,85,98,1.73,GH,1681949396
281,bria,6.5423,21.9863,297.19,71,69,0.51,CF,1681949396
